timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
8/7/17 11:19,Google,T6,Software Engineer,440000,"New York, NY",14,12,NA,0,0,0,NA,NA,10182,501,49,0,0,0,0,0,0,0,0,0,0,NA,NA
8/8/17 5:54,Amazon,L5,Software Engineering Manager,205000,"Seattle, WA",12,7,NA,138000,67000,0,NA,NA,11527,819,50,0,0,0,0,0,0,0,0,0,0,NA,NA
8/8/17 14:14,Netflix,Senior Software Engineer,Software Engineer,340000,"Los Gatos, CA",4,2,NA,340000,0,0,NA,NA,7277,807,51,0,0,0,0,0,0,0,0,0,0,NA,NA
8/10/17 18:05,Apple,ICT2,Software Engineer,120000,"Cupertino, CA",5,2,NA,95000,80000,8000,NA,Tons of overtime,7158,807,52,0,0,0,0,0,0,0,0,0,0,NA,NA
8/13/17 10:57,Amazon,L5,Software Engineer,170000,"Dublin, DN, Ireland",9,2,NA,93000,77000,1000,NA,NA,4015,0,53,0,0,0,0,0,0,0,0,0,0,NA,NA
8/16/17 19:25,Amazon,L4,Software Engineer,161000,"Seattle, WA",7,2,NA,0,0,0,NA,NA,11527,819,54,0,0,0,0,0,0,0,0,0,0,NA,NA
8/17/17 12:45,Microsoft,65,Software Engineer,342000,"Redmond, WA",8,1,NA,202000,102000,38000,NA,NA,11521,819,55,0,0,0,0,0,0,0,0,0,0,NA,NA
8/18/17 21:57,Apple,ICT3,Software Engineer,200000,"Cupertino, CA",7,0,NA,0,0,0,NA,NA,7158,807,57,0,0,0,0,0,0,0,0,0,0,NA,NA
8/20/17 1:20,Salesforce,Senior,Product Manager,210000,"San Francisco, CA",8,1,NA,166000,20000,24000,NA,NA,7419,807,58,0,0,0,0,0,0,0,0,0,0,NA,NA
8/22/17 18:42,Microsoft,66,Product Manager,325000,"Redmond, WA",20,9,NA,191000,90000,43000,NA,NA,11521,819,62,0,0,0,0,0,0,0,0,0,0,NA,NA
8/23/17 16:49,Microsoft,69,Software Engineer,910000,"Redmond, WA",28,17,NA,270000,500000,140000,NA,NA,11521,819,63,0,0,0,0,0,0,0,0,0,0,NA,NA
8/24/17 7:22,Amazon,L5,Software Engineer,250000,"San Francisco, CA",12,1,NA,160000,225000,150000,NA,NA,7419,807,65,0,0,0,0,0,0,0,0,0,0,NA,NA
8/24/17 18:01,Uber,Senior Software Engineer 2 (5b),Software Engineer,520000,"San Francisco, CA",13,2,NA,200000,300000,20000,NA,NA,7419,807,67,0,0,0,0,0,0,0,0,0,0,NA,NA
8/24/17 23:13,Amazon,L6,Software Engineering Manager,298000,"Seattle, WA",12,1.25,NA,160000,0,0,NA,NA,11527,819,68,0,0,0,0,0,0,0,0,0,0,NA,NA
8/24/17 23:55,eBay,Senior Member of Technical Staff,Software Engineer,350000,"Seattle, WA",12,3,NA,215000,90000,45000,NA,NA,11527,819,70,0,0,0,0,0,0,0,0,0,0,NA,NA
8/29/17 22:13,Oath,IC4,Software Engineer,200000,"Sunnyvale, CA",5,1,NA,0,0,0,NA,NA,7472,807,71,0,0,0,0,0,0,0,0,0,0,NA,NA
8/31/17 8:43,Oath,IC2,Software Engineer,88000,"Baltimore, MD",5,1,NA,0,0,0,NA,NA,8909,512,73,0,0,0,0,0,0,0,0,0,0,NA,NA
9/1/17 12:09,Salesforce,Lead MTS,Software Engineer,320000,"San Francisco, CA",4,1,NA,210000,80000,30000,NA,PhD,7419,807,75,0,0,1,0,0,0,0,0,0,0,NA,PhD
9/1/17 23:17,Pinterest,L5,Software Engineer,410000,"San Francisco, CA",10,1,NA,0,0,0,NA,NA,7419,807,76,0,0,0,0,0,0,0,0,0,0,NA,NA
9/4/17 14:17,Facebook,E4,Software Engineer,190000,"Menlo Park, CA",1,1,NA,140000,150000,14000,NA,NA,7300,807,77,0,0,0,0,0,0,0,0,0,0,NA,NA
9/4/17 18:42,Amazon,L6,Product Manager,170000,"Seattle, WA",9,2,NA,123000,37000,1000,NA,NA,11527,819,78,0,0,0,0,0,0,0,0,0,0,NA,NA
9/6/17 15:38,Amazon,L6,Product Manager,270000,"Seattle, WA",19,3,NA,150000,120000,0,NA,NA,11527,819,79,0,0,0,0,0,0,0,0,0,0,NA,NA
